name,rent,area,x,y,rent/area
旭辉朗悦庭,1925 ,128.3 ,121.046799,31.0035188,15
陆凌新村,3988 ,52.5 ,121.5579607,31.35008957,76
浩城华苑,12500 ,140.4 ,121.4918884,31.21759712,89
永灵小区,5207 ,66.8 ,121.4254477,31.28534331,78
杨南新村,5280 ,72.3 ,121.4989525,31.15284708,73
宋家滩小区,4510 ,32.9 ,121.3953601,31.22336519,137
虹日小区,4884 ,39.4 ,121.3857378,31.20376608,124
崧泽华城佳福雅苑,1833 ,76.4 ,121.1617798,31.14801211,24
古佳苑,2530 ,87.2 ,121.6354326,31.01716559,29
广联新苑,5665 ,66.6 ,121.4668253,31.26963539,85
洪山花苑,7975 ,103.6 ,121.4953392,31.17243161,77
场中小区,3846 ,41.8 ,121.4469835,31.30799477,92
新光小区,7178 ,46.3 ,121.399066,31.21528181,155
东四小区,3600 ,40.9 ,121.4855236,31.28521587,88
京浦小区,4153 ,49.4 ,121.5632372,31.15540536,84
同景苑,4620 ,55.0 ,121.6733973,31.24553943,84
威宁小区,6273 ,59.2 ,121.3806642,31.21150352,106
马泾桥二村,1600 ,53.3 ,121.4116219,31.42087708,30
上钢五村,3850 ,48.1 ,121.4854658,31.17675775,80
塘和家园德宁苑,3300 ,86.8 ,121.2471977,31.10200124,38
杜鹃园,4700 ,62.7 ,121.4086198,31.15700194,75
新长征花苑,5545 ,49.1 ,121.3681864,31.23707092,113
滨江雅苑,2250 ,10.4 ,121.4091008,31.27957875,217
荷风景庭,2713 ,100.5 ,121.8028242,30.9132515,27
龙沟新苑,3388 ,61.6 ,121.564392,31.2000304,55
万峰梦湖苑,7500 ,111.9 ,121.4575458,31.28358583,67
泾西一村,4500 ,52.3 ,121.5428763,31.24223747,86
华师大三村,8287 ,82.0 ,121.4020875,31.22990377,101
灵石小区,5170 ,55.6 ,121.4187011,31.26738286,93
虹园八村,4400 ,31.0 ,121.3672257,31.21591656,142
绿舟星城,1100 ,55.0 ,121.5150698,31.58480785,20
嘉宝都市港湾,10780 ,129.9 ,121.3527615,31.24691705,83
崂山二村,3300 ,32.0 ,121.516109,31.23849843,103
广洋苑,5060 ,60.2 ,121.5649713,31.25248295,84
曙光南桥小区,3355 ,47.9 ,121.7049222,31.19368963,70
田林十三村,3400 ,34.3 ,121.4199702,31.17541015,99
延吉四村,4398 ,44.9 ,121.5347195,31.29532987,98
桃源新村,6200 ,50.4 ,121.4770361,31.22759062,123
中王小区,4250 ,74.6 ,121.5261171,31.27156071,57
佳泰花园,8190 ,136.5 ,121.5259806,31.30129759,60
百龙小区,4559 ,65.1 ,121.4454733,31.14696912,70
静安丽舍,14850 ,135.0 ,121.4257413,31.22816569,110
悦来小区,7800 ,75.0 ,121.4950832,31.22229655,104
嘉瑞花苑,6800 ,59.6 ,121.4591318,31.20423939,114
延北小区,5250 ,52.5 ,121.3798377,31.19493284,100
巨野小区,4840 ,48.4 ,121.5384832,31.24535169,100
王家堂小区,7003 ,46.4 ,121.4403001,31.19110007,151
番禺小区,5555 ,40.5 ,121.4230854,31.19958409,137
徐虹路112弄,6710 ,45.3 ,121.4269267,31.1918947,148
妙境一村,4004 ,83.4 ,121.691617,31.18885031,48
斜土新村,3800 ,30.2 ,121.466706,31.2020731,126
栖山小区,5577 ,49.4 ,121.5394143,31.24388934,113
怡华家园,2500 ,86.2 ,121.2405955,31.40682669,29
馨良苑,4400 ,72.1 ,121.4715337,31.32804133,61
虹储小区,7150 ,39.1 ,121.4071162,31.20080208,183
海湾新苑,5060 ,85.8 ,121.4735265,31.30114404,59
益华小区,8250 ,111.5 ,121.4784481,31.30463308,74
东方吉苑,3575 ,47.7 ,121.5011014,31.16463287,75
翔殷三村,5115 ,63.9 ,121.5355542,31.31180205,80
