name,x,y,area,rent,rent/m2
 芳芯路251弄,121.552379,31.19469514,9.8,2390,243.877551
 航华四村,121.3549194,31.17335117,15.21,2430,159.7633136
 三林苑,121.5186018,31.14601968,9.2,2190,238.0434783
 大华二村,121.4148703,31.27037921,12.5,2390,191.2
 民东公寓,121.3109416,31.29500132,14.5,2390,164.8275862
 高境一村,121.4789285,31.32146351,15.74,2390,151.8424396
 澜茵华庭,121.31165,31.24074971,11.8,2360,200
 一品漫城(二期),121.487489,31.11646137,13.2,2190,165.9090909
 浦润苑,121.5284003,31.04428029,80.22,3530,44.00398903
 中环一号(一期),121.400334,31.2939328,16.7,2090,125.1497006
 润和苑,121.2637383,31.11360785,16.9,2030,120.1183432
 叶城五街坊,121.2299634,31.36881135,12.7,1130,88.97637795
 上海派,121.1929867,31.29514227,7.4,1090,147.2972973
 上海派,121.1929867,31.29514227,7.4,1090,147.2972973
 浦江馨都,121.5289172,31.04111686,10,1560,156
 好日子大家园A区,121.3611068,31.35283339,14.3,2090,146.1538462
 泗泾新苑,121.2689835,31.11626714,12.3,2060,167.4796748
 东缘公寓,121.5635419,31.15159181,11,2090,190
 金桂新村,121.1618905,31.28891285,14,1360,97.14285714
 罗阳七村(三洲花园),121.3933472,31.12657869,14.1,2030,143.9716312
 上大阳光乾泽园,121.3974885,31.31134093,14.2,2090,147.1830986
 杉林新月环林东路799弄,121.528552,31.14610451,14,2090,149.2857143
 瑞丰园,121.372886,31.31903371,10.9,2030,186.2385321
 丰宝苑,121.3685901,31.3182272,13.2,1860,140.9090909
 新梅公寓,121.3835636,31.12485375,14,2190,156.4285714
 博一小区,121.5788528,31.26886832,12.98,1960,151.0015408
 高境欣苑,121.4819578,31.32080495,9.8,2360,240.8163265
 宜嘉苑,121.6026998,31.28879415,13.2,2330,176.5151515
 芳芯苑,121.5538217,31.19499355,13.8,2360,171.0144928
 金鹤新城双佳翠庭,121.311333,31.24395969,11.5,2190,190.4347826
 紫荆四村,121.160392,31.29413725,14.4,1730,120.1388889
 佳洲欣苑,121.6828847,31.19005082,16.5,1990,120.6060606
 闵富花苑,121.3658283,31.10623907,16.57,1930,116.4755582
 平阳三街坊,121.3808832,31.13521079,10.5,2390,227.6190476
 高行绿洲(六期),121.5916819,31.32712744,11.45,1990,173.7991266
 上泰雅苑,121.5782116,31.28112521,22.71,2460,108.322325
 高乐小区,121.2292977,31.02118303,11.2,1490,133.0357143
 大发融悦,121.0813117,31.13687627,8.3,1160,139.7590361
 汇福家园健康里,121.5904973,31.09114176,13.5,1190,88.14814815
 云润家园,121.3141837,31.13107306,15.5,2090,134.8387097
 龙柏四村,121.3586498,31.18034196,18,2590,143.8888889
 大发融悦,121.0813117,31.13687627,8.6,1160,134.8837209
 高境一村,121.4789285,31.32146351,18,2690,149.4444444
 泰辰复兴苑,121.4698193,31.21597762,11.2,2060,183.9285714
 经纬阳光水岸家园(一期),121.399347,31.32955836,15.5,2090,134.8387097
 双桥小区,121.5919232,31.28809595,11.4,2030,178.0701754
 聚丰景都,121.3702853,31.31307014,15,1890,126
 浦发绿城,121.535113,31.14577525,11,1990,180.9090909
 地杰国际城F欧香四季,121.5706689,31.15979798,15.6,2330,149.3589744
 春光家园,121.351817,31.28023413,14.3,1890,132.1678322
 恒大华城天地苑,121.4856934,31.16517265,20.01,2390,119.4402799
 高乐小区,121.2292977,31.02118303,13,1730,133.0769231
 北九峰小区,121.2237844,31.02090222,18.7,1790,95.72192513
 锦绣华都,121.5772816,31.15738627,12.3,1890,153.6585366
 海东公寓,121.544042,31.18572915,11,2360,214.5454545
 梧桐城邦(二期),121.4062137,31.29483854,10.5,1890,180
 好日子大家园B区,121.357189,31.35130899,14,1790,127.8571429
 逸兴家园,121.4951157,31.34998809,12.7,2190,172.4409449
 高行馨苑,121.609612,31.29960877,26,1860,71.53846154
 环镇北路600弄,121.3994144,31.30857635,14,1990,142.1428571
 奥林匹克花园,121.3224765,31.14966699,9.2,1830,198.9130435
 场中路239弄,121.4755027,31.31207968,15.2,2190,144.0789474
 新德佳苑,121.6639095,31.19147818,14.2,1930,135.915493
 双桥小区,121.5919232,31.28809595,15.1,2290,151.6556291
 航华二村嘉丰公寓,121.3460625,31.17490254,15.1,2230,147.6821192
 御桥花园,121.5339265,31.15304157,19.9,2590,130.1507538
 瑞丰园,121.372886,31.31903371,9.3,2030,218.2795699
 金鼎公寓(普陀),121.3917264,31.26841032,13.1,2230,170.2290076
 彭新小区,121.4422154,31.31141293,12.16,2530,208.0592105
 长宏新苑,121.4892008,31.34457105,10.49,2290,218.3031459
 和合新村,121.5706093,31.15382563,11.9,1890,158.8235294
 未来域,121.5319839,31.15194954,10.3,1890,183.4951456
 万里真金苑,121.4017678,31.26925125,24.1,2490,103.3195021
 经纬观澜弘郡家园(三期),121.3419728,31.19677689,11,2190,199.0909091
 檀乡湾,121.4129595,31.35933394,18.6,1890,101.6129032
 恒大小区,121.5038544,31.17329098,14,2460,175.7142857
 乐业二村,121.4279163,31.4119373,12.9,1660,128.6821705
 莘光苑,121.3853825,31.12705875,12,2190,182.5
 九亭明珠苑(公寓),121.3274744,31.13593399,10,1860,186
 三林安居苑,121.5219016,31.14719549,12,2390,199.1666667
 东陆新村二街坊,121.5946843,31.27462489,12.8,2390,186.71875
 江桥三村五街坊,121.3318068,31.25805182,12.36,1830,148.0582524
 经纬学府涵青花园(二期),121.3929125,31.3327128,15.22,1960,128.7779238
 高行绿洲(四期),121.5916819,31.32712744,10.2,1960,192.1568627
 高行绿洲(一期),121.5916819,31.32712744,12.9,1860,144.1860465
 金唐公寓,121.6541855,31.20356588,16.5,2160,130.9090909
 新梅莘苑,121.3836894,31.10478127,13,2230,171.5384615
 南大街14弄,121.3983955,31.24933848,14.6,2560,175.3424658
 美安路215弄,121.3452797,31.38983926,16,1530,95.625
 虹桥机场新村,121.3486428,31.18537625,8.05,2030,252.173913
 芙蓉二街坊,121.1553053,31.29306434,15.5,1560,100.6451613
 浦发绿城,121.535113,31.14577525,17,2260,132.9411765
 桃浦五村杜鹃苑,121.3470252,31.28738561,15.5,2260,145.8064516
 大名城名郡,121.1515095,31.29115155,9.5,1530,161.0526316
 闵浦新苑五村,121.5316485,31.06522582,14.7,1460,99.31972789
 朱梅小区,121.4084973,31.13087238,14,2090,149.2857143
 九峰小区,121.2249035,31.01742522,13.5,1530,113.3333333
 金禾新苑,121.5243788,31.15141242,9.8,2130,217.3469388
 巨东小区,121.5465945,31.23824762,12.2,2190,179.5081967
 地杰国际城F欧香四季,121.5706689,31.15979798,16.8,2460,146.4285714
 上大阳光乾恩园,121.4000278,31.31074528,17,2190,128.8235294
 馨佳园(韶山路419弄),121.3619887,31.36423433,14.5,1660,114.4827586
 东荷小区,121.5885425,31.27527919,9.7,1990,205.1546392
 华丽家园,121.3886654,31.10458051,11.15,1830,164.1255605
 罗阳三村,121.4030119,31.12423425,10.17,2160,212.3893805
 中房公寓,121.3057205,31.24545947,11.7,1960,167.5213675
 绿地清猗园(威廉公馆),121.315542,31.2991734,13.6,1990,146.3235294
 美岸栖庭(公寓),121.4882031,31.32977125,15.2,2360,155.2631579
 东方城市花园(一期),121.5169889,31.20496577,7.3,1990,272.6027397
 中房公寓,121.3057205,31.24545947,11.7,1960,167.5213675
 绿地清猗园(威廉公馆),121.315542,31.2991734,13.6,1990,146.3235294
 金海华城华康佳苑,121.4917552,31.26080337,15.1,2190,145.0331126
 美岸栖庭(公寓),121.4882031,31.32977125,15.2,2360,155.2631579
 东方城市花园(一期),121.5169889,31.20496577,7.3,1990,272.6027397
 世昶生活广场,121.1556796,31.29141382,53,3130,59.05660377
 华夏小区,121.4893477,31.1653707,14.7,2260,153.7414966
 水语人家南苑,121.528115,31.04698653,12.8,1430,111.71875
 平吉二村,121.3794773,31.14664414,15.04,2290,152.2606383
 上大阳光乾澄园,121.4045921,31.30886343,12,2290,190.8333333
 三林苑,121.5186018,31.14601968,9.6,2230,232.2916667
 三湘四季花城,121.2242129,31.05554184,15.5,2090,134.8387097
 罗智路258弄,121.3406115,31.38759956,10,1060,106
 桃浦一村瑞香苑,121.3482892,31.28701057,67,4590,68.50746269
 顺驰美兰湖,121.3519504,31.40769307,95,4230,44.52631579
 经纬弘汇地标家园,121.3419728,31.19677689,9.8,1830,186.7346939
 莘城公寓,121.3886154,31.10948463,20,2360,118
 丽都城假日景苑,121.4037786,31.01488803,10.7,1660,155.1401869
 杉林新月环林东路799弄,121.528552,31.14610451,12,1930,160.8333333
 芳芯路251弄,121.552379,31.19469514,9.8,2390,243.877551
 三湘四季花城,121.2242129,31.05554184,16.2,2460,151.8518519
 万科琥珀郡园,121.3581164,31.39454113,28.5,1860,65.26315789
 沁春园三村,121.3710991,31.09853953,13.4,1890,141.0447761
 罗山四村,121.5556297,31.25184985,7.5,1830,244
 金港花园(公寓),121.2602028,31.11360686,15,2330,155.3333333
 万馨佳园,121.6693182,31.19334181,9.5,1830,192.6315789
 证大家园(公寓),121.5883884,31.28451641,18.2,2390,131.3186813
 爱法花园(一期),121.654624,31.27377141,14.2,2190,154.2253521
 品珍苑,121.5189679,31.14293052,9.5,1990,209.4736842
 绿波城,121.6604225,31.21115541,9.7,1860,191.7525773
 美罗家园罗秀苑,121.4075123,31.12874747,18.8,1660,88.29787234
